mint,lon,lat
entella,13.184128,37.728871
ephesus,27.340833,37.939722
epidaurus,23.160067,37.63328
epiphaneia_cilicia,36.199705,36.955056
epiphaneia_syria,36.757062,35.163546
epirus,20.787778,39.546389
epora,-4.381896,38.026033
ercavica,-2.669233,40.431836
eresus,25.931389,39.168611
eretria,23.783333,38.383333
erfurt,11.029166666667,50.978055555556
erlangen,11.004444444444,49.596388888889
erythrae,26.479047,38.381944
eryx,12.583607,38.036517
esbus,35.801042,31.786736
eso,1.048056,42.12
etenna,31.438444,36.993117
etruria,11.6125488,42.8759641
euboean_league,23.783333,38.383333
eucarpeia,30.113951,38.486522
euchaitis,35.28003,40.572478
euhesperides,20.091198,32.109789
euippe,28.086631,37.787596
eumeneia,29.845162,38.321795
eupatris,36.01,33.76
eurea,22.26,39.8
euromus,27.673196,37.378355
eurymenae,22.734388,39.864767
eusebeia,35.484989,38.728033
eustibaikula,2.169444,41.629167
euthenai,28.259418,36.935973
euxine_region,28.47,44.55
failaka,48.274487,29.433698
fars_shiraz,52.53113,29.61031
farwan,52.54802,35.21701
fas,-4.9998,34.03715
fasa,53.6482,28.9383
fenseris,14.518,40.973
filastin,34.86563,31.92923
flaviopolis,35.8,37.45
flensburg,9.4366666666667,54.781944444444
frankfurt_main,8.683333,50.116667
frankfurt_oder,14.55,52.35
franzburg,12.866666666667,54.166666666667
freiberg,13.342777777778,50.911944444444
freiburg_breisgau,7.8497222222222,47.994722222222
fuerstenwalde,14.066666666667,52.366666666667
fuerth,10.990277777778,49.478333333333
fulda,9.6775,50.552777777778
fulvia,29.8486215,38.320018000000005
gaba,35.144592,32.61367
gabala,35.922327,35.378062
gadara,35.677841,32.655548
gades,-6.29,36.533333
gagae,30.3475,36.288784
gainesville_georgia,-83.833889,34.304444
galaria,14.533333,37.716667
galepsus,23.688564,40.200006
gambrium,27.3204017,39.0910834
gandersheim,10.025277777778,51.871944444444
gangra,33.514489,40.647446
gargara,26.538692,39.533479
garhgaon,77.02635,28.4601
gaulos,14.250244,36.041526
gaza,34.458046,31.510975
gaziura,36.059111,40.404051
gela,14.258219,37.063156
gelnhausen,9.166667,50.2
gentinus,26.279146,39.876943
gerasa,35.892081,32.276465
gergis,26.609255,39.898491
germanicia_caesareia,36.925326,37.586682
germanicopolis_cilicia,32.892184,36.640309
germanicopolis_paphlagonia,33.514489,40.647446
germe,27.690683,39.36872
germe_galatia,31.62822,39.53262
gerrha,50.0770569,25.9453878
geto_dacian,25.49,43.85
ghaza,34.46667,31.5
ghazna,68.42096,33.55391
gittelde,10.1875,51.800277777778
glueckstadt,9.4219444444444,53.791666666667
goettingen,9.9355555555556,51.533888888889
golgi,33.546609,35.065649
gomphi,21.691299,39.453328
gonnus,22.474276,39.861822
gordus_julia,28.31421,38.876702
gorgan,54.5,37.0
gorgippia,37.310251,44.892209
gortyna,24.946944,35.063333
gortys-achaean_league,22.03544,37.536675
goslar,10.43,51.907222222222
gotha,10.718333,50.948889
graccurris,-1.749327,42.178586
gracurris,-1.749327,42.178586
granada,-3.60667,37.18817
graxa,16.95,40.8
greece,22.1044922,38.7712164
greifswald,13.383333333333,54.083333333333
grimenothyrae,29.5923615,38.6737171
grynium,27.069173,38.874665
gumush_bazar,35.21472,40.87306
gyaros,24.716667,37.616667
gyrton,22.569853,39.798151
gythium,22.56286,36.756482
hadrianeia,28.634216,39.59133
hadriani_ad_olympum,28.998851,39.906135
hadrianopolis_phrygia,31.637066,38.232144
hadrianopolis_thrace,26.566667,41.666667
hadrianothera,27.910653,39.60672
hadrumetum,10.63878,35.825866
haguenau,7.7877777777778,48.816666666667
haithabu,9.5652777777778,54.491111111111
halab,37.16117,36.20124
halberstadt,11.046666666667,51.895833333333
haliartus,23.1,38.366667
halicarnassus,27.41724,37.035173
halieis,23.136994,37.301493
halle,11.966667,51.483333
halos,-4.15,37.166667
halus,22.75,39.183333
hamadhan,48.51456,34.79922
hamah,36.75783,35.13179
hamaxitus,26.09471,39.543605
hamburg,10.001389,53.565278
hameln,9.36,52.103055555556
hanau,8.9166666666667,50.133333333333
hannover,9.7386111111111,52.374444444444
harat,62.19967,34.34817
harpagion,27.391984,40.334274
harpasa,28.362084,37.796623
harran,39.03139,36.86
harunabad,48.3943,34.9975
hatra,42.720863,35.586199
hatria,13.981081,42.5802
havelberg,12.074444444444,52.825
hecatompylos,54.037505,35.96168
heidelberg,8.716667,49.416667
heilbronn,9.2166666666667,49.15
heinrichstadt,10.5373,52.16232
helice,22.144303,38.220538
heliopolis,36.200556,34.015363
helmstedt,11.010555555556,52.228055555556
hephaestia,25.31712,39.96314
heraclea_ad_latmum,27.524722,37.501944
heraclea_lucaniae,16.678299,40.213021
heraclea_minoa,13.280904,37.394042
heraclea_salbace,28.9847,37.6235
heraclea_thracica,27.95528,40.97003
heracleia_ad_sipylum,27.15813485,38.6185505
heracleia_illyricum,16.45,43.166667
heracleia_pontica,31.414722,41.284722
heracleia_sintica,23.250111,41.433395
heracleia_trachinia,22.447577,38.792037
heraea,21.85941,37.605985
herbessus,14.300237,37.428706
herborn_hesse,8.3061111111111,50.6825
herdoniae,15.628294,41.316575
hermione,23.243591,37.385218
hermocapelia,27.614993,38.921548
hersfeld,9.7066666666667,50.868333333333
hierapolis_bambyce,37.954539,36.526118
hierapolis_phrygia,29.146,37.9074
hierapytna,25.740363,35.010026
hierocaesareia,27.787742,38.756891
hieropolis_castabala,36.1887932,37.1806978
hieropolis_phrygia,30.197699,38.461767
hildesheim,9.95,52.15
hillah,44.41963,32.46367
himera,13.816667,37.966667
hims,36.72339,34.72682
hipana,13.432761,37.722097
hippo_regius,7.755129,36.883651
hipponium,16.097648,38.675581
hippus,35.659411,32.778841
hisn_kayfa,41.41459,37.71308
hispalis,-5.996293,37.382668
hispano-punic,-6.1578369,36.8224776
hispanorum,14.497222,37.433333
histiaea,23.090527,38.946604
hoechst,8.5466666666667,50.098888888889
hoexter,9.366667,51.766667
holmi,33.887079,36.325934
homolium,22.634618,39.90411
hornburg,10.616667,52.016667
hybla_magna,14.90091,37.567342
hyde,33.517464,37.440842
hydisus,27.800872,37.162268
hyllarima,28.347059,37.498214
hypaepa,27.962914,38.248459
hypana-achaean_league,21.755423,37.538801
hypata,22.25209,38.871397
hyporum,16.062018,37.947209
hyrcanis,27.667099,38.667539
hyrgaleis,29.25,38.25
hyria_campania,14.518,40.973
hyrium,17.642785,40.496983
hyrtacina,23.73635,35.274179
iaetia,13.197999,37.967325
iaka,-0.55,42.55
ialysus,28.142222,36.400278
iantinum,2.8883,48.9603
iasus,27.585572,37.278149
icarus,48.274487,29.433698
ichnae,22.591256,40.764014
iconium,32.5161,37.847054
icosium,3.056709,36.7718
icus,23.900777,39.163501
idalium,33.412994,35.019966
idyma,28.367319,37.059443
ieso,1.290558,41.786644
ifriqiyah,10.16579,36.81897
ikalesken,-1.749431,39.440732
ikesankom,-3.364135,40.481662
ilercavonia_with_dertosa,0.520955,40.811004
ilerda,0.62579,41.614118
iliberi,-3.597934,37.176484
ilici,-0.6953,38.2396
ilipa,-6.679208,37.360102
ilipense,-5.978254,37.518215
ilipla,-6.679208,37.360102
ilistra,33.02484443333333,37.19722183333334
iliturgi,-3.80883,37.968343
ilium,26.238889,39.9575
iliya,35.21633,31.76904
iliya_palestine,35.21633,31.76904
illici,-0.6953,38.2396
ilmenau,10.914166666667,50.687222222222
ilse,-6.157627,37.525577
iltiraka,-4.87,38.54
iltirkesken,2.5,42.0
iltirta,0.62579,41.614118
iltukoite,-0.66,40.98
ilturo,2.393392,41.526084
